Date,Time,Bank Name,Account Number,Sender,Receiver,Payment ID/Reference Number,Pay/Collect,Amount (in Rs.),DR/CR,Status
01/01/2026,05:15:12,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hm@upi(H&M),687852629279,PAY,3246.17,DR,SUCCESS
01/01/2026,17:52:40,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),sureshdhaba@upi(SURESH DHABA),830474774783,PAY,437.82,DR,SUCCESS
01/01/2026,03:57:07,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rent@okicici(RENT PAYMENT),349367408573,PAY,20788.19,DR,SUCCESS
01/01/2026,18:57:55,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rahuljuicecentre@ybl(RAHUL JUICE CENTRE),117169259938,PAY,492.66,DR,SUCCESS
01/01/2026,05:10:13,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hotstar@hdfc(DISNEY HOTSTAR),892366905578,PAY,248.78,DR,SUCCESS
02/01/2026,01:01:17,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rent@okicici(RENT PAYMENT),864635942720,PAY,521.91,DR,SUCCESS
02/01/2026,15:53:01,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),flipkart@okaxis(FLIPKART),256753243241,PAY,2274.49,DR,SUCCESS
02/01/2026,21:24:52,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),metrotravels@upi(METRO TRAVELS),267366711454,PAY,521.99,DR,SUCCESS
02/01/2026,14:54:49,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),mmt@upi(MAKEMYTRIP),216758312142,PAY,4783.48,DR,SUCCESS
02/01/2026,22:06:01,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),wifi@paytm(BROADBAND BILL),362026917387,PAY,8765.65,DR,SUCCESS
02/01/2026,08:54:18,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dailykiranastore@upi(DAILY KIRANA STORE),896074666799,PAY,621.28,DR,SUCCESS
02/01/2026,12:58:27,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),571865859402,PAY,4422.57,DR,SUCCESS
02/01/2026,00:31:22,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),uber@upi(UBER),539477404388,PAY,4466.04,DR,SUCCESS
02/01/2026,10:57:09,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),wifi@paytm(BROADBAND BILL),335179216994,PAY,22233.29,DR,SUCCESS
02/01/2026,18:01:24,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bb@upi(BIGBASKET),713600218690,PAY,362.16,DR,SUCCESS
02/01/2026,16:36:20,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),expresstaxi@paytm(EXPRESS TAXI),636843760419,PAY,211.6,DR,SUCCESS
02/01/2026,08:03:42,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zomato@upi(ZOMATO),727384162926,PAY,2096.01,DR,SUCCESS
02/01/2026,17:07:09,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),panditjijuicecentre@okaxis(PANDIT JI JUICE CENTRE),841969482096,PAY,421.21,DR,SUCCESS
02/01/2026,13:39:01,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ganeshdhaba@upi(GANESH DHABA),923587810381,PAY,152.08,DR,SUCCESS
02/01/2026,00:18:42,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),netflix@upi(NETFLIX),575728631348,PAY,754.36,DR,SUCCESS
02/01/2026,12:13:13,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zara@hdfc(ZARA),488957727140,PAY,8671.95,DR,SUCCESS
02/01/2026,18:48:10,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),quickauto@paytm(QUICK AUTO),638742396782,PAY,547.71,DR,SUCCESS
02/01/2026,14:32:23,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bb@upi(BIGBASKET),718686884722,PAY,2468.79,DR,SUCCESS
02/01/2026,14:10:32,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),pvr@okicici(PVR CINEMAS),280246818746,PAY,1582.19,DR,SUCCESS
02/01/2026,00:30:55,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),milk@okicici(MILK BASKET),810367323199,PAY,65.29,DR,SUCCESS
02/01/2026,23:13:25,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bk@upi(BURGER KING),244627244943,PAY,361.11,DR,SUCCESS
03/01/2026,23:37:21,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zepto@ybl(ZEPTO),729920809135,PAY,3159.83,DR,SUCCESS
03/01/2026,16:57:11,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),896048613650,PAY,2181.45,DR,SUCCESS
03/01/2026,19:47:02,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),saiteastall@ybl(SAI TEA STALL),208824257778,PAY,194.93,DR,SUCCESS
03/01/2026,10:43:01,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rahultiffin@paytm(RAHUL TIFFIN),746367503462,PAY,43.83,DR,SUCCESS
03/01/2026,11:01:04,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),wifi@paytm(BROADBAND BILL),375797605253,PAY,19321.66,DR,SUCCESS
03/01/2026,21:21:18,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),guptachaiwala@upi(GUPTA CHAIWALA),674165139545,PAY,194.36,DR,SUCCESS
03/01/2026,09:37:48,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ola@okaxis(OLA),449294409666,PAY,3922.96,DR,SUCCESS
03/01/2026,07:06:35,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),netflix@upi(NETFLIX),114571562466,PAY,1811.55,DR,SUCCESS
03/01/2026,16:35:37,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),expresstransport@paytm(EXPRESS TRANSPORT),971168604436,PAY,760.56,DR,SUCCESS
03/01/2026,16:59:55,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dmart@upi(D-MART),805776734389,PAY,2532.85,DR,SUCCESS
03/01/2026,23:08:45,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),jio@okaxis(JIO RECHARGE),441256645600,PAY,4013.43,DR,SUCCESS
04/01/2026,15:15:42,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),gas@upi(INDANE GAS),159391100494,PAY,7804.92,DR,SUCCESS
04/01/2026,04:45:25,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),gas@upi(INDANE GAS),123363252083,PAY,21253.12,DR,SUCCESS
04/01/2026,10:52:33,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),flipkart@okaxis(FLIPKART),822840580342,PAY,4028.91,DR,SUCCESS
04/01/2026,16:52:33,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dominos@okicici(DOMINOS),569796815538,PAY,1136.4,DR,SUCCESS
04/01/2026,02:56:33,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),414852644192,PAY,7777.69,DR,SUCCESS
04/01/2026,11:12:32,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zara@hdfc(ZARA),395609159341,PAY,3907.93,DR,SUCCESS
04/01/2026,18:44:53,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dominos@okicici(DOMINOS),138786442815,PAY,1042.38,DR,SUCCESS
04/01/2026,06:18:55,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bescom@hdfc(BESCOM),616409138841,PAY,14772.4,DR,SUCCESS
04/01/2026,22:47:10,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),960193719279,PAY,6602.9,DR,SUCCESS
04/01/2026,02:14:44,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),kfc@okaxis(KFC),270545347180,PAY,415.02,DR,SUCCESS
04/01/2026,05:29:32,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),netflix@upi(NETFLIX),109478494006,PAY,1547.19,DR,SUCCESS
04/01/2026,14:24:11,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rent@okicici(RENT PAYMENT),995048569358,PAY,15668.92,DR,SUCCESS
04/01/2026,22:35:56,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irctc@hdfc(IRCTC),636496470897,PAY,4065.1,DR,SUCCESS
04/01/2026,18:33:39,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),274819137611,PAY,6876.68,DR,SUCCESS
04/01/2026,06:12:52,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),localtravels@upi(LOCAL TRAVELS),833051254927,PAY,420.72,DR,SUCCESS
04/01/2026,16:14:47,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irani@okaxis(IRANI CAFE),689064421214,PAY,1202.99,DR,SUCCESS
04/01/2026,02:23:37,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zomato@upi(ZOMATO),474713252319,PAY,1554.12,DR,SUCCESS
05/01/2026,08:39:54,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ganeshtiffin@okaxis(GANESH TIFFIN),194662895689,PAY,409.54,DR,SUCCESS
05/01/2026,04:05:50,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),473239238687,PAY,8401.2,DR,SUCCESS
05/01/2026,10:47:44,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),reliance@hdfc(RELIANCE FRESH),706989547239,PAY,1321.52,DR,SUCCESS
05/01/2026,07:24:21,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),kfc@okaxis(KFC),154948311175,PAY,574.47,DR,SUCCESS
05/01/2026,19:22:07,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),sharmateastall@upi(SHARMA TEA STALL),875137247651,PAY,147.62,DR,SUCCESS
05/01/2026,21:22:54,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),jio@okaxis(JIO RECHARGE),746570161491,PAY,7774.84,DR,SUCCESS
05/01/2026,16:19:47,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ola@okaxis(OLA),558060484905,PAY,889.57,DR,SUCCESS
05/01/2026,17:32:29,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),mmt@upi(MAKEMYTRIP),819498733127,PAY,750.35,DR,SUCCESS
05/01/2026,00:45:53,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),prime@okaxis(PRIME VIDEO),545621983634,PAY,1107.15,DR,SUCCESS
05/01/2026,11:48:25,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),229452676463,PAY,4416.77,DR,SUCCESS
05/01/2026,15:16:46,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irctc@hdfc(IRCTC),848171388879,PAY,1539.18,DR,SUCCESS
05/01/2026,05:25:11,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bb@upi(BIGBASKET),607162810257,PAY,2654.12,DR,SUCCESS
05/01/2026,11:31:53,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),prime@okaxis(PRIME VIDEO),553965839887,PAY,427.1,DR,SUCCESS
05/01/2026,01:45:13,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),localbakery@ybl(LOCAL BAKERY),524612144353,PAY,250.66,DR,SUCCESS
05/01/2026,09:02:57,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),101289344501,PAY,6601.95,DR,SUCCESS
05/01/2026,06:32:54,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ganeshsnacks@upi(GANESH SNACKS),766864121581,PAY,404.3,DR,SUCCESS
06/01/2026,00:17:14,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),blinkit@okaxis(BLINKIT),550270613241,PAY,217.08,DR,SUCCESS
06/01/2026,23:13:06,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),gas@upi(INDANE GAS),477917312000,PAY,14466.48,DR,SUCCESS
06/01/2026,18:54:47,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),gas@upi(INDANE GAS),129025169676,PAY,19783.09,DR,SUCCESS
06/01/2026,18:10:47,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ola@okaxis(OLA),386601453956,PAY,2978.84,DR,SUCCESS
06/01/2026,07:06:16,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dailyvegetables@paytm(DAILY VEGETABLES),361839705021,PAY,920.37,DR,SUCCESS
06/01/2026,02:38:12,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),ola@okaxis(OLA),847809168193,PAY,4970.94,DR,SUCCESS
06/01/2026,05:46:09,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),anujchaiwala@okaxis(ANUJ CHAIWALA),746420398302,PAY,305.53,DR,SUCCESS
06/01/2026,09:17:05,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hotstar@hdfc(DISNEY HOTSTAR),909928442896,PAY,725.8,DR,SUCCESS
06/01/2026,05:15:08,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),airtel@upi(AIRTEL),275015711380,PAY,18235.04,DR,SUCCESS
06/01/2026,07:28:46,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),flipkart@okaxis(FLIPKART),345295307033,PAY,2892.05,DR,SUCCESS
06/01/2026,07:15:08,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),mmt@upi(MAKEMYTRIP),569852557346,PAY,3700.24,DR,SUCCESS
06/01/2026,09:01:08,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),859020220673,PAY,9051.81,DR,SUCCESS
06/01/2026,01:24:16,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),airtel@upi(AIRTEL),181659247786,PAY,9021.47,DR,SUCCESS
06/01/2026,14:41:34,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),mmt@upi(MAKEMYTRIP),592790488122,PAY,3733.35,DR,SUCCESS
06/01/2026,05:13:05,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zepto@ybl(ZEPTO),941617431740,PAY,2482.37,DR,SUCCESS
06/01/2026,08:36:01,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hm@upi(H&M),589192230196,PAY,5138.95,DR,SUCCESS
06/01/2026,23:36:54,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zara@hdfc(ZARA),174337582550,PAY,8589.72,DR,SUCCESS
06/01/2026,16:09:41,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),goibibo@okicici(GOIBIBO),445258446138,PAY,4374.37,DR,SUCCESS
07/01/2026,19:53:26,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irctc@hdfc(IRCTC),729663812177,PAY,2079.45,DR,SUCCESS
07/01/2026,14:38:28,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dmart@upi(D-MART),610913340618,PAY,3871.73,DR,SUCCESS
07/01/2026,18:33:23,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),prime@okaxis(PRIME VIDEO),923889545427,PAY,282.57,DR,SUCCESS
07/01/2026,13:26:20,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),wifi@paytm(BROADBAND BILL),290756980287,PAY,17735.09,DR,SUCCESS
07/01/2026,22:40:44,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hm@upi(H&M),852081770280,PAY,347.51,DR,SUCCESS
07/01/2026,07:51:23,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hm@upi(H&M),763053707496,PAY,1791.67,DR,SUCCESS
07/01/2026,14:58:18,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irctc@hdfc(IRCTC),960449829537,PAY,3131.37,DR,SUCCESS
07/01/2026,16:53:26,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bb@upi(BIGBASKET),100940149829,PAY,3858.82,DR,SUCCESS
07/01/2026,13:46:24,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),dmart@upi(D-MART),818749711384,PAY,3075.33,DR,SUCCESS
07/01/2026,20:15:04,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),rent@okicici(RENT PAYMENT),207585700028,PAY,23891.71,DR,SUCCESS
07/01/2026,22:40:24,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),363581687349,PAY,6602.65,DR,SUCCESS
07/01/2026,17:28:00,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hotstar@hdfc(DISNEY HOTSTAR),147140413614,PAY,1995.31,DR,SUCCESS
08/01/2026,23:13:24,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),pvr@okicici(PVR CINEMAS),622806987911,PAY,1433.43,DR,SUCCESS
08/01/2026,09:37:49,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),mishrasnacks@upi(MISHRA SNACKS),811691707782,PAY,29.64,DR,SUCCESS
08/01/2026,19:51:17,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hm@upi(H&M),874256488786,PAY,1070.34,DR,SUCCESS
08/01/2026,02:23:36,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),irctc@hdfc(IRCTC),974443114338,PAY,4439.49,DR,SUCCESS
08/01/2026,13:55:47,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),expresstravels@upi(EXPRESS TRAVELS),168851363483,PAY,336.65,DR,SUCCESS
08/01/2026,20:17:09,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),blinkit@okaxis(BLINKIT),562600512635,PAY,778.39,DR,SUCCESS
08/01/2026,01:08:15,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),gas@upi(INDANE GAS),722179601785,PAY,13420.39,DR,SUCCESS
08/01/2026,17:30:12,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),amazon@apl(AMAZON),615164116074,PAY,1977.85,DR,SUCCESS
08/01/2026,20:24:40,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bescom@hdfc(BESCOM),822258136654,PAY,18008.83,DR,SUCCESS
08/01/2026,01:52:11,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),netflix@upi(NETFLIX),517168183120,PAY,681.6,DR,SUCCESS
08/01/2026,00:36:22,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),reliance@hdfc(RELIANCE FRESH),322907246418,PAY,2536.23,DR,SUCCESS
08/01/2026,11:38:27,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),hotstar@hdfc(DISNEY HOTSTAR),679837589553,PAY,708.88,DR,SUCCESS
08/01/2026,08:46:46,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),spotify@paytm(SPOTIFY),227840767437,PAY,990.31,DR,SUCCESS
08/01/2026,03:57:25,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),nike@okicici(NIKE),324409870333,PAY,5413.27,DR,SUCCESS
08/01/2026,06:01:33,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),zara@hdfc(ZARA),852581757209,PAY,369.68,DR,SUCCESS
09/01/2026,20:54:12,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bk@upi(BURGER KING),669594593306,PAY,1200.27,DR,SUCCESS
09/01/2026,23:15:42,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bescom@hdfc(BESCOM),423857232906,PAY,12539.23,DR,SUCCESS
09/01/2026,13:45:42,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),flipkart@okaxis(FLIPKART),829572528947,PAY,5600.75,DR,SUCCESS
09/01/2026,22:10:06,State Bank Of India,XXXXXX7939,xxxxx41450@upi(SANATH KUMAR COONANI),bms@upi(BOOKMYSHOW),264685898686,PAY,1521.37,DR,SUCCESS
